[17:33:597] [FINE  ] 1 - Try placing BLACK at: 6,5 
[17:33:601] [FINE  ] WHITE's scenario: -40 
[17:33:601] [FINE  ] 1 - score: -40 
[17:33:602] [FINE  ] 1 - Try placing BLACK at: 6,6 
[17:33:605] [FINE  ] WHITE's scenario: -40 
[17:33:605] [FINE  ] 1 - score: -40 
[17:33:606] [FINE  ] 1 - Try placing BLACK at: 6,8 
[17:33:608] [FINE  ] WHITE's scenario: -40 
[17:33:609] [FINE  ] 1 - score: -40 
[17:33:609] [FINE  ] 1 - Try placing BLACK at: 7,6 
[17:33:612] [FINE  ] WHITE's scenario: -40 
[17:33:612] [FINE  ] 1 - score: -40 
[17:33:613] [FINE  ] 1 - Try placing BLACK at: 3,7 
[17:33:615] [FINE  ] WHITE's scenario: -70 
[17:33:615] [FINE  ] 1 - score: -70 
[17:33:616] [FINE  ] 1 - Try placing BLACK at: 3,8 
[17:33:619] [FINE  ] WHITE's scenario: -70 
[17:33:619] [FINE  ] 1 - score: -70 
[17:33:619] [FINE  ] 1 - Try placing BLACK at: 7,7 
[17:33:622] [FINE  ] WHITE's scenario: -70 
[17:33:623] [FINE  ] 1 - score: -70 
[17:33:623] [FINE  ] 1 - Try placing BLACK at: 7,8 
[17:33:626] [FINE  ] WHITE's scenario: -70 
[17:33:627] [FINE  ] 1 - score: -70 
[17:33:627] [FINE  ] BLACK best move508 and depth is 1 best score is 60(Branch factor:14; Scenarios Evaluated:14) 
[17:33:628] [FINE  ] 2 - score: 60 
[17:33:628] [FINE  ] 2 - Try placing WHITE at: 3,6 
[17:33:631] [FINE  ] 1 - Try placing BLACK at: 5,7 
[17:33:634] [FINE  ] WHITE's scenario: 130 
[17:33:635] [FINE  ] 1 - score: 130 
[17:33:635] [FINE  ] BLACK best move507 and depth is 1 best score is 130(Branch factor:1; Scenarios Evaluated:1) 
[17:33:635] [FINE  ] 2 - score: 130 
[17:33:636] [FINE  ] 2 - Try placing WHITE at: 4,6 
[17:33:638] [FINE  ] 1 - Try placing BLACK at: 5,7 
[17:33:641] [FINE  ] WHITE's scenario: 130 
[17:33:642] [FINE  ] 1 - score: 130 
[17:33:642] [FINE  ] BLACK best move507 and depth is 1 best score is 130(Branch factor:1; Scenarios Evaluated:1) 
[17:33:643] [FINE  ] 2 - score: 130 
[17:33:643] [FINE  ] 2 - Try placing WHITE at: 5,5 
[17:33:647] [FINE  ] 1 - Try placing BLACK at: 5,7 
[17:33:649] [FINE  ] WHITE's scenario: 200 
[17:33:649] [FINE  ] 1 - score: 200 
[17:33:650] [FINE  ] BLACK best move507 and depth is 1 best score is 200(Branch factor:1; Scenarios Evaluated:1) 
[17:33:650] [FINE  ] 2 - score: 200 
[17:33:650] [FINE  ] 2 - Try placing WHITE at: 5,8 
[17:33:654] [FINE  ] 1 - Try placing BLACK at: 5,7 
[17:33:658] [FINE  ] WHITE's scenario: 200 
[17:33:658] [FINE  ] 1 - score: 200 
[17:33:658] [FINE  ] BLACK best move507 and depth is 1 best score is 200(Branch factor:1; Scenarios Evaluated:1) 
[17:33:659] [FINE  ] 2 - score: 200 
[17:33:659] [FINE  ] 2 - Try placing WHITE at: 6,6 
[17:33:662] [FINE  ] 1 - Try placing BLACK at: 5,7 
[17:33:665] [FINE  ] WHITE's scenario: 130 
[17:33:665] [FINE  ] 1 - score: 130 
[17:33:666] [FINE  ] BLACK best move507 and depth is 1 best score is 130(Branch factor:1; Scenarios Evaluated:1) 
[17:33:666] [FINE  ] 2 - score: 130 
[17:33:666] [FINE  ] 2 - Try placing WHITE at: 7,6 
[17:33:670] [FINE  ] 1 - Try placing BLACK at: 5,7 
[17:33:674] [FINE  ] WHITE's scenario: 130 
[17:33:674] [FINE  ] 1 - score: 130 
[17:33:675] [FINE  ] BLACK best move507 and depth is 1 best score is 130(Branch factor:1; Scenarios Evaluated:1) 
[17:33:675] [FINE  ] 2 - score: 130 
[17:33:675] [FINE  ] 2 - Try placing WHITE at: 3,7 
[17:33:678] [FINE  ] 1 - Try placing BLACK at: 5,8 
[17:33:680] [FINE  ] WHITE's scenario: 60 
[17:33:681] [FINE  ] 1 - score: 60 
[17:33:681] [FINE  ] BLACK best move508 and depth is 1 best score is 60(Branch factor:1; Scenarios Evaluated:1) 
[17:33:681] [FINE  ] 2 - score: 60 
[17:33:682] [FINE  ] 2 - Try placing WHITE at: 3,8 
[17:33:685] [FINE  ] 1 - Try placing BLACK at: 5,7 
[17:33:688] [FINE  ] WHITE's scenario: 200 
[17:33:688] [FINE  ] 1 - score: 200 
[17:33:688] [FINE  ] BLACK best move507 and depth is 1 best score is 200(Branch factor:1; Scenarios Evaluated:1) 
[17:33:689] [FINE  ] 2 - score: 200 
[17:33:689] [FINE  ] 2 - Try placing WHITE at: 4,5 
[17:33:692] [FINE  ] 1 - Try placing BLACK at: 5,7 
[17:33:694] [FINE  ] WHITE's scenario: 200 
[17:33:695] [FINE  ] 1 - score: 200 
[17:33:695] [FINE  ] BLACK best move507 and depth is 1 best score is 200(Branch factor:1; Scenarios Evaluated:1) 
[17:33:695] [FINE  ] 2 - score: 200 
[17:33:695] [FINE  ] 2 - Try placing WHITE at: 4,8 
[17:33:698] [FINE  ] 1 - Try placing BLACK at: 5,7 
[17:33:700] [FINE  ] WHITE's scenario: 200 
[17:33:701] [FINE  ] 1 - score: 200 
[17:33:701] [FINE  ] BLACK best move507 and depth is 1 best score is 200(Branch factor:1; Scenarios Evaluated:1) 
[17:33:701] [FINE  ] 2 - score: 200 
[17:33:702] [FINE  ] 2 - Try placing WHITE at: 6,5 
[17:33:705] [FINE  ] 1 - Try placing BLACK at: 5,7 
[17:33:708] [FINE  ] WHITE's scenario: 200 
[17:33:709] [FINE  ] 1 - score: 200 
[17:33:709] [FINE  ] BLACK best move507 and depth is 1 best score is 200(Branch factor:1; Scenarios Evaluated:1) 
[17:33:709] [FINE  ] 2 - score: 200 
[17:33:709] [FINE  ] 2 - Try placing WHITE at: 6,8 
[17:33:713] [FINE  ] 1 - Try placing BLACK at: 5,7 
[17:33:715] [FINE  ] WHITE's scenario: 200 
[17:33:715] [FINE  ] 1 - score: 200 
[17:33:716] [FINE  ] BLACK best move507 and depth is 1 best score is 200(Branch factor:1; Scenarios Evaluated:1) 
[17:33:716] [FINE  ] 2 - score: 200 
[17:33:716] [FINE  ] 2 - Try placing WHITE at: 7,7 
[17:33:719] [FINE  ] 1 - Try placing BLACK at: 5,8 
[17:33:722] [FINE  ] WHITE's scenario: 60 
[17:33:722] [FINE  ] 1 - score: 60 
[17:33:722] [FINE  ] BLACK best move508 and depth is 1 best score is 60(Branch factor:1; Scenarios Evaluated:1) 
[17:33:723] [FINE  ] 2 - score: 60 
[17:33:723] [FINE  ] 2 - Try placing WHITE at: 7,8 
[17:33:726] [FINE  ] 1 - Try placing BLACK at: 5,7 
[17:33:728] [FINE  ] WHITE's scenario: 200 
[17:33:728] [FINE  ] 1 - score: 200 
[17:33:728] [FINE  ] BLACK best move507 and depth is 1 best score is 200(Branch factor:1; Scenarios Evaluated:1) 
[17:33:728] [FINE  ] 2 - score: 200 
[17:33:729] [FINE  ] WHITE best move507 and depth is 2 best score is 60(Branch factor:15; Scenarios Evaluated:28) 
[17:34:915] [FINE  ] 2 - Try placing WHITE at: 3,6 
[17:34:918] [FINE  ] 1 - Try placing BLACK at: 4,9 
[17:34:920] [FINE  ] WHITE's scenario: 160 
[17:34:920] [FINE  ] 1 - score: 160 
[17:34:920] [FINE  ] 1 - Try placing BLACK at: 7,6 
[17:34:924] [FINE  ] WHITE's scenario: 130 
[17:34:925] [FINE  ] 1 - score: 130 
[17:34:925] [FINE  ] 1 - Try placing BLACK at: 4,6 
[17:34:928] [FINE  ] WHITE's scenario: 60 
[17:34:928] [FINE  ] 1 - score: 60 
[17:34:928] [FINE  ] 1 - Try placing BLACK at: 6,9 
[17:34:930] [FINE  ] WHITE's scenario: 40 
[17:34:931] [FINE  ] 1 - score: 40 
[17:34:931] [FINE  ] 1 - Try placing BLACK at: 4,8 
[17:34:934] [FINE  ] WHITE's scenario: 20 
[17:34:935] [FINE  ] 1 - score: 20 
[17:34:935] [FINE  ] 1 - Try placing BLACK at: 6,8 
[17:34:937] [FINE  ] WHITE's scenario: 20 
[17:34:938] [FINE  ] 1 - score: 20 
[17:34:938] [FINE  ] 1 - Try placing BLACK at: 3,8 
[17:34:942] [FINE  ] WHITE's scenario: -10 
[17:34:942] [FINE  ] 1 - score: -10 
[17:34:943] [FINE  ] 1 - Try placing BLACK at: 4,5 
[17:34:944] [FINE  ] WHITE's scenario: -10 
[17:34:944] [FINE  ] 1 - score: -10 
[17:34:945] [FINE  ] 1 - Try placing BLACK at: 6,5 
[17:34:946] [FINE  ] WHITE's scenario: -10 
[17:34:946] [FINE  ] 1 - score: -10 
[17:34:946] [FINE  ] 1 - Try placing BLACK at: 6,6 
[17:34:947] [FINE  ] WHITE's scenario: 60 
[17:34:948] [FINE  ] 1 - score: 60 
[17:34:948] [FINE  ] 1 - Try placing BLACK at: 7,8 
[17:34:949] [FINE  ] WHITE's scenario: -10 
[17:34:949] [FINE  ] 1 - score: -10 
[17:34:949] [FINE  ] 1 - Try placing BLACK at: 2,5 
[17:34:950] [FINE  ] WHITE's scenario: -40 
[17:34:951] [FINE  ] 1 - score: -40 
[17:34:951] [FINE  ] 1 - Try placing BLACK at: 2,6 
[17:34:953] [FINE  ] WHITE's scenario: 30 
[17:34:953] [FINE  ] 1 - score: 30 
[17:34:954] [FINE  ] 1 - Try placing BLACK at: 2,7 
[17:34:955] [FINE  ] WHITE's scenario: -40 
[17:34:955] [FINE  ] 1 - score: -40 
[17:34:956] [FINE  ] 1 - Try placing BLACK at: 3,5 
[17:34:957] [FINE  ] WHITE's scenario: -40 
[17:34:957] [FINE  ] 1 - score: -40 
[17:34:958] [FINE  ] 1 - Try placing BLACK at: 3,7 
[17:34:959] [FINE  ] WHITE's scenario: -40 
[17:34:959] [FINE  ] 1 - score: -40 
[17:34:959] [FINE  ] 1 - Try placing BLACK at: 5,5 
[17:34:960] [FINE  ] WHITE's scenario: -40 
[17:34:961] [FINE  ] 1 - score: -40 
[17:34:961] [FINE  ] 1 - Try placing BLACK at: 5,9 
[17:34:962] [FINE  ] WHITE's scenario: -40 
[17:34:962] [FINE  ] 1 - score: -40 
[17:34:962] [FINE  ] 1 - Try placing BLACK at: 7,7 
[17:34:963] [FINE  ] WHITE's scenario: -40 
[17:34:964] [FINE  ] 1 - score: -40 
[17:34:964] [FINE  ] BLACK best move409 and depth is 1 best score is 160(Branch factor:19; Scenarios Evaluated:19) 
[17:34:965] [FINE  ] 2 - score: 160 
[17:34:965] [FINE  ] 2 - Try placing WHITE at: 7,6 
[17:34:967] [FINE  ] 1 - Try placing BLACK at: 6,9 
[17:34:969] [FINE  ] WHITE's scenario: 160 
[17:34:969] [FINE  ] 1 - score: 160 
[17:34:969] [FINE  ] BLACK best move609 and depth is 1 best score is 160(Branch factor:1; Scenarios Evaluated:1) 
